syllabus_id,year,course_title,subtitle,departments,grade,campus,term_schedule,credits,note,extraction_time,created_at,all_instructors_kanji,all_instructors_kana
B000000010,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B201),1,２０２５年度以降入学生用,2025-06-01 17:35:48,2025-06-01 08:35:48,林　千宏,ハヤシ　チヒロ
B000000011,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B202),1,２０２５年度以降入学生用,2025-06-01 17:36:16,2025-06-01 08:36:16,林　千宏,ハヤシ　チヒロ
B000000012,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B203),1,２０２５年度以降入学生用,2025-06-01 17:36:42,2025-06-01 08:36:42,林　千宏,ハヤシ　チヒロ
B000000013,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B204),1,２０２５年度以降入学生用,2025-06-01 17:37:09,2025-06-01 08:37:09,林　千宏,ハヤシ　チヒロ
B000000014,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B205),1,２０２５年度以降入学生用,2025-06-01 17:37:36,2025-06-01 08:37:36,林　千宏,ハヤシ　チヒロ
B000000015,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月１(B206),1,２０２５年度以降入学生用,2025-06-01 17:38:03,2025-06-01 08:38:03,林　千宏,ハヤシ　チヒロ
B000000016,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B201),1,,2025-06-01 17:38:30,2025-06-01 08:38:30,林　千宏,ハヤシ　チヒロ
B000000017,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B202),1,２０２５年度以降入学生用,2025-06-01 17:38:56,2025-06-01 08:38:56,林　千宏,ハヤシ　チヒロ
B000000018,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B203),1,２０２５年度以降入学生用,2025-06-01 17:39:23,2025-06-01 08:39:24,林　千宏,ハヤシ　チヒロ
B000000019,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B203),1,２０２５年度以降入学生用,2025-06-01 17:39:49,2025-06-01 08:39:49,秋庭　太,アキバ　フトシ
B000000020,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B205),1,２０２５年度以降入学生用,2025-06-01 17:40:15,2025-06-01 08:40:16,林　千宏,ハヤシ　チヒロ
B000000021,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B205),1,２０２５年度以降入学生用,2025-06-01 17:40:41,2025-06-01 08:40:42,秋庭　太,アキバ　フトシ
B000000022,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B207),1,２０２５年度以降入学生用,2025-06-01 17:41:08,2025-06-01 08:41:08,林　千宏,ハヤシ　チヒロ
B000000023,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B207),1,２０２５年度以降入学生用,2025-06-01 17:41:33,2025-06-01 08:41:34,秋庭　太,アキバ　フトシ
B000000024,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B209),1,２０２５年度以降入学生用,2025-06-01 17:42:01,2025-06-01 08:42:01,秋庭　太,アキバ　フトシ
B000000025,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B209),1,２０２５年度以降入学生用,2025-06-01 17:42:26,2025-06-01 08:42:26,林　千宏,ハヤシ　チヒロ
B000000026,2025,情報リテラシー,情報活用技術の基礎をマスターする,経営学部,1年次～4年次,深草,前期　月２(B211),1,２０２４年度以前入学生用,2025-06-01 17:42:52,2025-06-01 08:42:52,林　千宏,ハヤシ　チヒロ
B000000030,2025,,,,,,,,,2025-06-01 21:21:55,2025-06-01 12:21:55,"林　千宏, 林　千宏","ハヤシ　チヒロ, ハヤシ　チヒロ"
B000000050,2025,現代のビジネス,我々の身近にあるビジネスを学ぶ,経営学部,1年次～4年次,深草,前期　木２(B201),2,２０２４年度以前入学生用、再履修含む,2025-06-01 20:52:50,2025-06-01 11:52:50,"秋庭　太, 秋庭　太","アキバ　フトシ, アキバ　フトシ"
B000000060,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　木２(B202),2,Ｂ２５０００１～Ｂ２５０１０２,2025-06-01 20:52:50,2025-06-01 11:52:50,"中谷　治恭, 中谷　治恭","ナカタニ　ハルヤス, ナカタニ　ハルヤス"
B000000061,2025,,,,,,,,,2025-06-01 21:21:55,2025-06-01 12:21:55,"中谷　治恭, 中谷　治恭","ナカタニ　ハルヤス, ナカタニ　ハルヤス"
B000000070,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　月２(B212),2,Ｂ２５０１０３～Ｂ２５０２０４、（２４生以前含む）,2025-06-01 20:53:15,2025-06-01 11:53:15,"加藤　正浩, 加藤　正浩","カトウ　マサヒロ, カトウ　マサヒロ"
B000000071,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　月２(B213),2,２０２５年度以降入学生用（商学科生教職課程履修者用）,2025-06-01 20:53:16,2025-06-01 11:53:16,"加藤　正浩, 加藤　正浩","カトウ　マサヒロ, カトウ　マサヒロ"
B000000080,2025,簿記入門,【ステップアップ・クラス】 簿記の基礎的な知識・技術の再確認,経営学部,1年次～4年次,深草,前期　火５(B201),2,２０２５年度以降入学生用（経営学科生のみ）Ｓｔｅｐ　Ｕｐ　Ｃｌａｓｓ※日商簿記３級合格者またはそれと同等の資格試験の合格者のみ,2025-06-01 20:53:36,2025-06-01 11:53:36,"藤木　潤司, 藤木　潤司","フジキ　ジユンジ, フジキ　ジユンジ"
B000000090,2025,簿記入門,経営学部の学生として最低限必要な簿記の知識と技術,経営学部,1年次～4年次,深草,前期　木２(B205),2,Ｂ２５０２０５～Ｂ２５０３０６,2025-06-01 20:53:38,2025-06-01 11:53:38,"井手　健二, 井手　健二","イデ　ケンジ, イデ　ケンジ"
B000000091,2025,,,,,,,,,2025-06-01 21:22:55,2025-06-01 12:22:55,"井手　健二, 井手　健二","イデ　ケンジ, イデ　ケンジ"
