syllabus_id,year,course_title,subtitle,departments,grade,campus,term_schedule,credits,note,extraction_time,created_at
C3FW1C0180,2025,ソーシャルワーク実習指導Ⅲ,,社会学部,3年次～4年次,深草,後期　集中(C396),2,"第2学期第9週目以降開講（木曜2講時・3講時）
社会福祉士指定科目",2025-06-02 00:58:06,2025-06-01 15:58:09
C3FWSW1030,2025,ソーシャルワーク実習Ⅰ,,社会学部,3年次～4年次,深草,後期　集中(C342),6,,2025-06-02 00:58:28,2025-06-01 15:58:28
C3FWSW2040,2025,ソーシャルワーク実習Ⅱ,,社会学部,3年次～4年次,深草,後期　集中(C350),2,社会福祉士指定科目,2025-06-02 00:58:53,2025-06-01 15:58:53
C3FWSW2020,2025,ソーシャルワーク実習Ⅱ,,社会学部,3年次～4年次,深草,後期　集中(C349),2,社会福祉士指定科目,2025-06-02 00:58:53,2025-06-01 15:58:53
C3FWSW1090,2025,ソーシャルワーク実習Ⅰ,,社会学部,3年次～4年次,深草,後期　集中(C347),6,,2025-06-02 00:58:53,2025-06-01 15:58:53
C3FWSW1080,2025,ソーシャルワーク実習Ⅰ,,社会学部,3年次～4年次,深草,後期　集中(C346),6,,2025-06-02 00:58:53,2025-06-01 15:58:55
C3FWSW1060,2025,ソーシャルワーク実習Ⅰ,,社会学部,3年次～4年次,深草,後期　集中(C344),6,,2025-06-02 00:58:53,2025-06-01 15:58:55
C3FWSW2010,2025,ソーシャルワーク実習Ⅱ,,社会学部,3年次～4年次,深草,後期　集中(C348),2,社会福祉士指定科目,2025-06-02 00:58:53,2025-06-01 15:58:55
C3FWSW1070,2025,ソーシャルワーク実習Ⅰ,,社会学部,3年次～4年次,深草,後期　集中(C345),6,,2025-06-02 00:58:55,2025-06-01 15:58:55
C3FWSW1050,2025,ソーシャルワーク実習Ⅰ,,社会学部,3年次～4年次,深草,後期　集中(C343),6,,2025-06-02 00:58:55,2025-06-01 15:58:55
C3FWSW2050,2025,ソーシャルワーク実習Ⅱ,,社会学部,3年次～4年次,深草,後期　集中(C351),2,社会福祉士指定科目,2025-06-02 00:59:23,2025-06-01 15:59:24
C3FWSW2060,2025,ソーシャルワーク実習Ⅱ,,社会学部,3年次～4年次,深草,後期　集中(C352),2,社会福祉士指定科目,2025-06-02 00:59:24,2025-06-01 15:59:25
