ファイル名,行番号,科目名,学部課程,年度,科目区分,科目小区分,必須度,エラータイプ,エラー詳細,正規化後科目名,処理日時
知能_2025.csv,40,知能情報メディア課程演習,知能情報メディア課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程演習 (正規化後: 知能情報メディア課程演習),知能情報メディア課程演習,2025-06-25T18:59:54.634123
知能_2025.csv,54,知能情報メディア課程セミナ-,知能情報メディア課程,2025,専攻科目,専門応用科目,必修,科目名ID未取得,科目名が見つかりません: 知能情報メディア課程セミナ- (正規化後: 知能情報メディア課程セミナ-),知能情報メディア課程セミナ-,2025-06-25T18:59:54.648586
電子_2025.csv,4,キャリア実習·実習指導,電子情報通信課程,2025,専攻科目,専門基礎科目,随意,科目名ID未取得,科目名が見つかりません: キャリア実習·実習指導 (正規化後: キャリア実習·実習指導),キャリア実習·実習指導,2025-06-25T18:59:54.665853
電子_2025.csv,7,クラウドコンピュ-ティング演習,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: クラウドコンピュ-ティング演習 (正規化後: クラウドコンピュ-ティング演習),クラウドコンピュ-ティング演習,2025-06-25T18:59:54.669594
電子_2025.csv,12,先端理工キャリア実習I,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習I (正規化後: 先端理工キャリア実習I),先端理工キャリア実習I,2025-06-25T18:59:54.675317
電子_2025.csv,13,先端理工インタ-ンシップI,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップI (正規化後: 先端理工インタ-ンシップI),先端理工インタ-ンシップI,2025-06-25T18:59:54.676766
電子_2025.csv,14,先端理工キャリア実習II,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工キャリア実習II (正規化後: 先端理工キャリア実習II),先端理工キャリア実習II,2025-06-25T18:59:54.677966
電子_2025.csv,15,先端理工インタ-ンシップII,電子情報通信課程,2025,専攻科目,専門基礎科目,選択,科目名ID未取得,科目名が見つかりません: 先端理工インタ-ンシップII (正規化後: 先端理工インタ-ンシップII),先端理工インタ-ンシップII,2025-06-25T18:59:54.679497
電子_2025.csv,38,電子情報通信課程実験I,電子情報通信課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験I (正規化後: 電子情報通信課程実験I),電子情報通信課程実験I,2025-06-25T18:59:54.706505
電子_2025.csv,48,電子情報通信課程実験II,電子情報通信課程,2025,専攻科目,専門基礎科目,必修,科目名ID未取得,科目名が見つかりません: 電子情報通信課程実験II (正規化後: 電子情報通信課程実験II),電子情報通信課程実験II,2025-06-25T18:59:54.718242
電子_2025.csv,66,情報セキュリティ,電子情報通信課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 情報セキュリティ (正規化後: 情報セキュリティ),情報セキュリティ,2025-06-25T18:59:54.740877
電子_2025.csv,76,量子力学[隔年開講],電子情報通信課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 量子力学 (正規化後: 量子力学),量子力学,2025-06-25T18:59:54.754484
電子_2025.csv,84,計算機ア-キテクチャ,電子情報通信課程,2025,専攻科目,専門応用科目,選択,科目名ID未取得,科目名が見つかりません: 計算機ア-キテクチャ (正規化後: 計算機ア-キテクチャ),計算機ア-キテクチャ,2025-06-25T18:59:54.764183
